label	drawings	engraving	iconography	painting	sculpture	total
Northern hardwood forest	1	2	0	6	0
Goat	1	0	0	0	1
Dish	0	0	0	1	0
Yard	0	0	0	0	21
Road	1	0	0	0	0
Pedestal	0	0	0	0	3
English lavender	0	0	0	1	0
Estate	2	0	0	5	2
Beetle	0	1	0	0	0
Tile	0	0	1	2	0
Liver	1	0	0	0	1
Flesh	0	0	1	4	1
Antelope	0	0	0	0	3
Sporting Group	3	1	1	1	3
Style	22	14	3	9	3
Manila galleon	3	0	0	0	0
Silhouette	4	0	0	0	0
Sitting	52	13	2	43	54
Pink	4	0	1	0	3
Crochet	0	0	0	0	1
Automotive design	1	0	0	0	0
Wedding dress	0	0	0	1	0
Meerkat	0	0	0	0	2
Piano	0	0	0	1	0
Courthouse	1	0	0	0	0
Houseplant	0	0	0	0	8
Transmission tower	0	0	0	0	1
Fawn	1	0	0	0	3
Tololoche	0	0	0	2	0
St. bernard	1	0	0	0	0
Construction paper	0	0	0	1	0
Still life photography	33	11	3	6	29
oxcart	0	1	0	0	0
Shadow	1	0	0	0	2
Plant stem	3	1	0	0	1
Home accessories	0	0	3	0	0
Mural	19	2	37	41	1
Horse harness	4	1	0	1	1
Reptile	1	1	0	0	0
Loggerhead sea turtle	0	1	0	0	0
Owl	1	5	0	0	5
Serpent	1	0	0	0	1
Font	16	14	11	8	9
National monument	0	0	0	0	3
Logo	0	0	1	0	1
Nurse	0	0	0	1	0
Artwork	401	149	22	46	44
Plastic arts	0	0	0	1	0
Eye	5	1	3	96	1
Lighting	0	0	0	0	3
Exercise equipment	0	0	0	0	1
Basketball hoop	0	0	0	0	1
Bulldog	1	1	0	0	0
Pc game	0	0	0	1	1
Statue	2	1	29	2	1490
Red	1	0	5	4	2
Brick	0	0	0	0	1
Dromon	0	1	0	0	0
Terrapin	0	1	0	0	0
Vegetable	1	0	0	0	1
Crucifix	0	0	4	0	2
Coal	1	0	0	0	0
Comb over	0	0	0	1	0
Table	11	2	0	1	17
Water transportation	2	2	0	3	0
Fashion design	7	0	0	0	1
Wall	6	1	1	0	5
Baseball	1	0	0	0	0
Tulip	0	2	0	0	0
Bronze sculpture	0	0	11	0	502
Flagship	3	0	0	1	0
Antler	0	0	0	0	4
History	91	207	641	62	8
Sea turtle	0	1	0	0	0
Brickwork	0	0	0	0	1
Lion	2	1	0	1	33
Kilt	1	1	0	0	0
Guillotine	1	3	0	0	0
Pond	0	0	0	4	2
Geisha	2	3	1	2	0
Thoroughfare	4	0	0	0	0
Forehead	90	10	49	20	86
Hortaya borzaya	1	0	0	1	0
Quilting	0	0	1	1	0
Troop	2	0	0	2	0
Curtain	2	0	0	0	0
Technology	3	0	0	1	12
Warship	2	1	0	0	0
Shar pei	0	0	0	0	2
Tavern	0	0	0	2	0
Street fashion	0	0	0	0	1
Tiger	0	1	0	0	0
Ancient roman architecture	4	2	0	0	0
Sorrel	1	0	0	0	3
Ceremony	1	0	4	1	0
Rodeo	0	1	0	0	0
Dog	8	1	0	3	5
Folk dance	1	0	0	2	0
V	0	0	0	1	0
Glass bottle	0	0	0	1	0
Glacial landform	0	1	0	0	0
Performance	0	0	0	3	14
Burro	0	3	0	2	0
3d modeling	0	0	0	0	9
Handwriting	2	0	0	0	0
Fencing	2	0	0	0	1
Clothing	1	0	0	3	1
Bass violin	0	0	0	1	0
Violone	0	0	0	2	1
Music	0	0	0	2	0
Pray	0	0	21	0	0
Mosque	1	0	0	0	0
Santoor	0	0	0	1	0
Skyline	1	0	0	0	1
Pasture	0	0	0	5	1
Lavender	2	0	0	1	0
Easel	2	0	1	0	0
Dust	0	0	0	2	0
Fishing vessel	0	1	0	0	0
Carbonated soft drinks	1	0	0	0	0
Sea otter	0	0	0	1	0
S	0	0	0	1	0
Sailing ship	6	7	0	4	0
Basketball	0	0	0	0	1
