label	drawings	engraving	iconography	painting	sculpture	total
Pointe shoe	0	0	0	0	1	1
Fishing vessel	0	1	0	0	0	1
Spoke	0	1	0	0	0	1
Water castle	1	0	0	0	0	1
Monochrome photography	12	9	0	1	17	39
Award	0	0	0	0	1	1
Mother	6	0	1	2	0	9
Action figure	0	0	0	0	14	14
Floristry	7	0	0	0	0	7
Machine	0	0	0	0	5	5
Auto part	2	0	0	0	2	4
Technical drawing	1	0	0	0	0	1
Dog breed	7	0	0	2	4	13
Drink	1	0	0	0	0	1
Shrub	0	0	0	1	9	10
Town square	2	0	0	0	0	2
Sea	4	0	0	29	6	39
Headgear	11	4	6	15	3	39
Shrine	0	0	66	0	0	66
Meerkat	0	0	0	0	2	2
Dressage	4	0	0	2	0	6
Ballet tutu	0	0	0	0	1	1
Metal	4	2	283	6	454	749
Statue	2	1	29	2	1462	1496
Sedan	1	0	0	0	0	1
Anteater	1	0	0	0	0	1
Byzantine architecture	2	2	0	0	0	4
Rectangle	5	4	95	5	0	109
Music	0	0	0	2	0	2
Bison	0	0	0	0	1	1
Dining room	1	0	0	0	0	1
Rust	0	0	0	1	0	1
Transparent material	0	0	0	0	2	2
Veena	0	0	2	2	0	4
Throwing	0	0	0	0	8	8
Figurine	0	0	9	98	711	818
Locket	0	0	6	12	0	18
Human anatomy	3	0	1	0	6	10
Miniature	9	7	482	0	10	508
Number	0	0	0	1	3	4
English lavender	0	0	0	1	0	1
Pineapple	0	0	0	1	0	1
Mural	19	2	37	41	1	100
Aerial photography	1	1	0	0	0	2
Batman	2	0	0	0	2	4
Monarchy	0	0	4	7	0	11
Magenta	2	0	2	1	0	5
Marine biology	0	0	0	0	1	1
Copper	0	0	6	0	2	8
Elder	0	0	7	30	0	37
Stork	0	1	0	0	0	1
Vegetarian food	2	0	0	0	0	2
Screenshot	0	0	1	1	1	3
Eating	1	0	0	0	0	1
Outdoor play equipment	0	0	0	0	2	2
Net	0	0	0	0	6	6
Archimandrite	0	0	2	5	0	7
Meteorological phenomenon	0	0	0	1	0	1
Fontange	2	0	0	11	0	13
Animal sports	3	1	0	6	0	10
History	91	207	641	62	8	1009
Symbol	0	0	6	0	7	13
Public event	0	1	0	0	0	1
Barquentine	1	0	0	0	0	1
Horse supplies	2	2	0	0	0	4
Plastic arts	0	0	0	1	0	1
sunflower	0	0	0	1	0	1
Building sand castles	0	0	0	0	31	31
Elephants and Mammoths	1	1	0	0	9	11
Self-portrait	157	17	61	869	0	1104
Dance	1	0	0	2	11	14
Pond turtle	0	1	0	0	0	1
Mount scenery	0	0	0	1	0	1
Vacation	0	0	0	0	2	2
Basketball court	0	0	0	0	1	1
Target archery	0	0	0	0	1	1
Vegetation	0	1	0	2	0	3
Bugle	0	0	0	0	1	1
Light	0	0	0	2	1	3
Doll	0	0	0	99	0	99
Mortuary temple	0	0	0	0	1	1
Tourism	2	1	0	11	11	25
woodworking	0	0	0	0	6	6
Smoke	1	0	0	0	1	2
Brain	0	0	0	0	1	1
Indian rhinoceros	0	1	0	0	2	3
East indiaman	4	3	0	6	0	13
Anthurium	2	0	0	0	0	2
Naval ship	2	1	0	0	0	3
Wilderness	0	1	0	2	0	3
Segway	0	0	0	0	1	1
Terrestrial plant	0	0	0	0	1	1
Tail	4	2	0	1	11	18
Light fixture	0	0	0	0	5	5
Cloak	1	0	0	0	0	1
Infrastructure	1	0	0	0	0	1
Guillotine	1	3	0	0	0	4
Destroyer	2	0	0	0	0	2
Rodeo	0	1	0	0	0	1
Driftwood	0	0	0	0	9	9
Totem pole	0	0	0	0	3	3
People in nature	0	0	0	1	0	1
Konghou	0	0	0	2	0	2
Blizzard	5	0	0	3	0	8
Hare	3	1	0	0	7	11
Roof	0	0	0	0	1	1
Natural landscape	10	4	0	45	14	73
Plaster	0	0	0	0	9	9
Flower	29	10	1	7	9	56
Piano	0	0	0	1	0	1
Carmine	0	0	0	0	1	1
Wine bottle	0	0	0	1	0	1
Hortaya borzaya	1	0	0	1	0	2
